ID	Mode	Molecular Weight	m/z	ion	RT [min]	Name	Formula	MA	MB	MC	MD	OA	OB	OC	OD
480	n	243.05658	242.04938	M-H	0.844	242.04938_0.844	C4 H14 N5 O3 P S	75611.35721	7442.606851		9227.066638	9726.687714		3304.027199	18465.06772
481	n	259.05172	258.04446	M-H	0.848	258.04446_0.848	C10 H13 N O5 S	128966.8701	111582.424		4426.772278	2513.523851		3987.163746	102596.9821
482	n	373.31186	372.3046	M-H	0.863	372.30460_0.863	C22 H44 Cl N O	4313.301209	180390.8287		11111.47532	3139.801722		8280.717857	384212.3554
483	n	93.93419	92.92692	M-H	0.864	92.92692_0.864		511307.6998	426826.5727		629955.9614	548184.8555		588128.0006	520256.6791
484	n	405.30186	404.29456	M-H	0.867	404.29456_0.867	C22 H44 Cl N O3	7493.752309	172352.4154		54887.16617	4477.987785		18605.09043	295617.7227
485	n	437.29173	436.28445	M-H	0.871	436.28445_0.871	C17 H41 Cl N9 P	1463.508939	16081.20061		11843.81319	1133.866809		4503.107216	50050.11059
486	n	421.29704	420.28976	M-H	0.874	420.28976_0.874	C21 H45 Cl N3 O P	2046.082414	14605.26381		11175.91348	918.6394973		4746.395092	49117.04561
487	n	320.24887	319.24167	M-H	0.88	319.24167_0.88	C18 H37 Cl O2	202514.0024	59419.13217		231727.5756	105628.3449		99450.28431	10827.71533
488	n	367.09102	366.08377	M-H	0.887	366.08377_0.887	C11 H14 N9 O4 P	1736.044946	5040.574225		141332.4971	13004.91842		371140.622	362733.1572
489	n	143.97928	142.972	M-H	0.891	142.97200_0.891		23713.51302	137300.2734		26161.77348	21429.66714		13995.72192	22103.46864
490	n	211.0512	210.04393	M-H	0.905	210.04393_0.905	C6 H13 N O5 S	130364.5721	111356.0066		25678.65513	26719.427		34509.38251	21812.67651
491	n	198.03843	197.03116	M-H	0.906	2_4-Dinitrophenylhydrazine	C6 H6 N4 O4	782572.1943	1613751.713		2653518.488	559727.5388		3052887.239	633949.9287
492	n	118.02563	117.01833	M-H	0.908	117.01833_0.908		45514.91026	44705.75452		16378.11087	31328.29901		6842.827318	18918.21956
493	n	125.99767	124.99032	M-H	0.908	124.99032_0.908		503796.2417	921764.8494		686492.5937	467937.1593		1816364.538	864478.7012
494	n	197.03542	196.02814	M-H	0.911	Tauropine	C5 H11 N O5 S	178504.6739	311471.754		322700.0377	134463.8875		67825.12811	445055.0982
495	n	129.04164	128.03439	M-H	0.912	128.03439_0.912		84688.12824	94985.86392		30084.26062	74712.70039		13863.09573	30249.24418
496	n	265.0591	264.05182	M-H	0.912	nitecapone	C12 H11 N O6	21570.96089	83449.92295		23498.44003	1021.168957		116674.7258	6242.304709
497	n	225.0498	224.04247	M-H	0.914	224.04247_0.914	C9 H12 N3 P S	31671.5452	36299.10387		256238.8112	12345.15998		18273.43034	34353.58634
498	n	167.02448	166.01726	M-H	0.915	166.01726_0.915	C6 H6 N3 O P	27245.94846	188040.6311		20723.35607	31792.14446		115049.6304	22082.76851
499	n	217.98833	216.98108	M-H	0.916	Sulfosalicylic Acid	C7 H6 O6 S	32598.50339	642227.5028		43700.22947	105323.7214		126484.184	145336.589
500	n	230.03606	229.0287	M-H	0.917	Asulam	C8 H10 N2 O4 S	1489718.392	2363835.994		979789.0945	7676130.102		1445651.937	1129821.738
501	n	183.01969	182.0125	M-H	0.917	L-Homocysteicacid	C4 H9 N O5 S	14148.91512	133986.9071		194677.1915	8187.302577		181298.4695	264296.852
502	n	232.00416	230.99686	M-H	0.919	4-Formyl-2-methoxyphenyl hydrogen sulfate	C8 H8 O6 S	122059.4395	321751.2792		207867.4791	24073.08537		146588.8041	25772.6567
503	n	156.00842	155.00114	M-H	0.921	155.00114_0.921	C5 H5 N2 O2 P	24671.03602	22942.16517		34577.76737	53875.58737		338536.2005	40039.03914
504	n	189.04218	188.03479	M-H	0.921	2-oxo-1_2-dihydroquinoline-4-carboxylate	C10 H7 N O3	43223.56595	232429.4753		100191.6418	9252.006364		145574.8905	34828.59418
505	n	224.04652	223.03937	M-H	0.921	Hydroxyanthraquinone	C14 H8 O3	428008.476	353859.6655		462275.8075	226188.2031		387867.7625	368731.5959
506	n	161.04691	160.03963	M-H	0.922	3-hydroxy-1H-quinolin-4-one	C9 H7 N O2	184532.3415	513170.8832		247246.5148	5697.313331		170126.6395	112315.2245
507	n	184.02263	183.01541	M-H	0.922	5-Hydroxyisourate	C5 H4 N4 O4	3983.27283	8063.397648		216396.4434	14094.16144		479040.6748	11132.75414
508	n	131.89557	130.88829	M-H	0.923	130.88829_0.923		78652.64007	25820.12161		140517.5186	100471.6195		125784.9039	104761.5201
509	n	284.99484	283.98755	M-H	0.923	283.98755_0.923	C11 H3 N5 O3 S	244625.8734	556778.2514		371887.7033	12125.44698		1256013.048	225648.7755
510	n	260.04708	259.03979	M-H	0.925	259.03979_0.925	C9 H14 N2 O3 P2	24000.71509	181513.8735		133853.2156	295011.5889		97213.09904	144765.1903
511	n	216.0567	215.04942	M-H	0.926	6-Aminopenicillanate	C8 H12 N2 O3 S	1530.790814	2206.343759		4400.793143	195012.4977		20492.08798	6609.752004
512	n	205.03716	204.02986	M-H	0.927	Xanthurenicacid	C10 H7 N O4	852268.4635	2290804.766		1271929.192	34560.25568		4050076.616	534427.4107
513	n	180.02767	179.02042	M-H	0.929	179.0204_0.929	C6 H4 N4 O3	632548.2455	1228781.958		869305.1365	64291.02933		136447.6684	283464.5718
514	n	197.05443	196.0471	M-H	0.931	196.0471_0.931	C5 H11 N O7	14082.01499	23564.88114		77134.63406	8801.570107		53136.70369	5114.244044
515	n	235.04808	234.0408	M-H	0.933	234.04080_0.933	C5 H10 N5 O4 P	12709.69948	69038.412		24714.48819	1502.693017		118302.9491	6361.061505
516	n	367.0911	366.08374	M-H	0.934	366.08374_0.934	C11 H14 N9 O4 P	5484.356563	61627.78685		141332.4971	56848.70014		899367.4374	362733.1572
517	n	140.03248	139.02519	M-H	0.939	139.0252_0.939	C3 H8 O6	1890.282531	5772.884115		60312.29906	9012.78136		130781.8961	6156.257672
518	n	183.03861	182.03133	M-H	0.94	182.03133_0.94	C5 H5 N5 O3	27965.25261	38264.99877		347012.2189	58760.41222		979055.4622	38393.76742
519	n	120.98232	119.97508	M-H	0.94	119.97508_0.91		441773.8175	949746.9726		340046.7008	8517.518496		602197.0537	39453.95517
520	n	168.01967	167.01245	M-H	0.943	167.0125_0.943	C5 H5 N4 O P	10764.21562	7859.050039		4071.639068	2479.24453		84729.37402	2755.341048
521	n	93.93419	92.92692	M-H	0.946	92.92692_0.946		2268955.784	2428167.635		2535251.413	2385334.5		2030091.349	2331368.873
522	n	245.07227	244.06506	M-H	0.951	244.0651_0.951	C10 H17 N O2 P2	144657.2999	104305.4523		91506.70384	4347.797543		530.9319216	12498.86908
523	n	138.89815	137.89082	M-H	0.953	137.8908_0.953		8930.639597	45293.63063		10411.3078	11331.31211		348231.706	7116.198787
524	n	123.98198	122.97472	M-H	0.972	122.97472_0.972		57926.41249	798485.9681		81101.52298	113896.7846		54046.92237	119412.1703
525	n	320.2489	319.24161	M-H	0.996	319.24161_0.996	C18 H37 Cl O2	140136.4964	21065.22524		131245.575	36557.62139		33889.7075	7668.424268
526	n	112.01501	111.00774	M-H	1.004	111.00774_1.004		18507.4018	14427.49892		22745.33124	1818.921711		60120.37995	31854.09351
527	n	268.07332	267.06604	M-H	1.012	DL-Homolanthionine sulfone	C8 H16 N2 O6 S	9426.646426	42878.68207		1537.021658	4840.374545		1633.45204	1625.383939
528	n	223.01149	222.00426	M-H	1.018	222.00426_1.018	C9 H5 N O6	62062.11292	869512.9979		128037.0827	2277.145582		77044.07856	193118.27
529	n	270.9825	269.97522	M-H	1.019	269.9752_1.019	C6 H11 N O5 P2 S	9090.569832	162277.3587		4048.927495	9158.256668		649.1180224	5342.300456
530	n	205.03716	204.02986	M-H	1.021	Xanthurenicacid	C10 H7 N O4	274090.0101	1463174.234		189886.4949	7442.432519		968814.867	70806.03776
531	n	284.99483	283.98758	M-H	1.023	283.98758_1.023	C10 H9 N O5 P2	95617.94069	383079.7706		78533.52918	1942.359957		355239.3917	54643.2534
532	n	163.02618	162.01889	M-H	1.024	162.0189_1.024	C8 H5 N O3	172711.0159	251507.2138		136098.4241	1367.597864		142535.4943	10196.42686
